,X,VL_name,Map_name,Convert_name,name_same
3508,121,Pau D'Arco Do Piauí,Pau D'arco Do Piauí,Pau D'arco Do Piauí,FALSE
3568,4690,Pedro II,Pedro Ii,Pedro Ii,FALSE
3602,2733,Pérola D'Oeste,Pérola D'oeste,Pérola D'oeste,FALSE
3645,4695,Pingo D'Água,Pingo D'água,Pingo D'água,FALSE
3663,1025,Pio IX,Pio Ix,Pio Ix,FALSE
3664,3576,Pio XII,Pio Xii,Pio Xii,FALSE
3930,2774,Rancho Alegre D'Oeste,Rancho Alegre D'oeste,Rancho Alegre D'oeste,FALSE
4160,4067,Sant'Ana Do Livramento,Sant'ana Do Livramento,Sant'ana Do Livramento,FALSE
4165,2810,Santa Bárbara D'Oeste,Santa Bárbara D'oeste,Santa Bárbara D'oeste,FALSE
4178,2088,Santa Clara D'Oeste,Santa Clara D'oeste,Santa Clara D'oeste,FALSE
4223,261,Santa Luzia D'Oeste,Santa Luzia D'oeste,Santa Luzia D'oeste,FALSE
4251,2824,Santa Rita D'Oeste,Santa Rita D'oeste,Santa Rita D'oeste,FALSE
4413,2855,São Felipe D'Oeste,São Felipe D'oeste,São Felipe D'oeste,FALSE
4464,3688,São João D'Aliança,São João D'aliança,São João D'aliança,FALSE
4498,1394,São João Do Pau D'Alho,São João Do Pau D'alho,São João Do Pau D'alho,FALSE
4515,4355,São Jorge D'Oeste,São Jorge D'oeste,São Jorge D'oeste,FALSE
4828,645,Sítio D'Abadia,Sítio D'abadia,Sítio D'abadia,FALSE
4902,2128,Tanque D'Arca,Tanque D'arca,Tanque D'arca,FALSE
5289,4394,Xangri-lá,Xangri-Lá,Xangri-Lá,FALSE
12,5069,Abadia De Goiás,Abadia De Goiás,Abadia De Goiás,TRUE
13,2158,Abadia Dos Dourados,Abadia Dos Dourados,Abadia Dos Dourados,TRUE
14,5070,Abadiânia,Abadiânia,Abadiânia,TRUE
15,2159,Abaeté,Abaeté,Abaeté,TRUE
16,152,Abaetetuba,Abaetetuba,Abaetetuba,TRUE
17,887,Abaiara,Abaiara,Abaiara,TRUE
18,1762,Abaíra,Abaíra,Abaíra,TRUE
19,1763,Abaré,Abaré,Abaré,TRUE
20,3774,Abatiá,Abatiá,Abatiá,TRUE
21,4137,Abdon Batista,Abdon Batista,Abdon Batista,TRUE
22,153,Abel Figueiredo,Abel Figueiredo,Abel Figueiredo,TRUE
23,4138,Abelardo Luz,Abelardo Luz,Abelardo Luz,TRUE
24,2160,Abre Campo,Abre Campo,Abre Campo,TRUE
25,1434,Abreu E Lima,Abreu E Lima,Abreu E Lima,TRUE
26,312,Abreulândia,Abreulândia,Abreulândia,TRUE
27,2161,Acaiaca,Acaiaca,Acaiaca,TRUE
28,449,Açailândia,Açailândia,Açailândia,TRUE
29,1764,Acajutiba,Acajutiba,Acajutiba,TRUE
30,154,Acará,Acará,Acará,TRUE
31,888,Acarape,Acarape,Acarape,TRUE
32,889,Acaraú,Acaraú,Acaraú,TRUE
33,1067,Acari,Acari,Acari,TRUE
34,664,Acauã,Acauã,Acauã,TRUE
35,4397,Aceguá,Aceguá,Aceguá,TRUE
36,890,Acopiara,Acopiara,Acopiara,TRUE
37,4937,Acorizal,Acorizal,Acorizal,TRUE
38,53,Acrelândia,Acrelândia,Acrelândia,TRUE
39,5071,Acreúna,Acreúna,Acreúna,TRUE
40,1068,Açu,Açu,Açu,TRUE
41,2162,Açucena,Açucena,Açucena,TRUE
42,3154,Adamantina,Adamantina,Adamantina,TRUE
43,5072,Adelândia,Adelândia,Adelândia,TRUE
44,3155,Adolfo,Adolfo,Adolfo,TRUE
45,3775,Adrianópolis,Adrianópolis,Adrianópolis,TRUE
46,1765,Adustina,Adustina,Adustina,TRUE
47,1435,Afogados Da Ingazeira,Afogados Da Ingazeira,Afogados Da Ingazeira,TRUE
48,1069,Afonso Bezerra,Afonso Bezerra,Afonso Bezerra,TRUE
49,2993,Afonso Cláudio,Afonso Cláudio,Afonso Cláudio,TRUE
50,450,Afonso Cunha,Afonso Cunha,Afonso Cunha,TRUE
51,1436,Afrânio,Afrânio,Afrânio,TRUE
52,155,Afuá,Afuá,Afuá,TRUE
53,1437,Agrestina,Agrestina,Agrestina,TRUE
54,665,Agricolândia,Agricolândia,Agricolândia,TRUE
55,4139,Agrolândia,Agrolândia,Agrolândia,TRUE
56,4140,Agronômica,Agronômica,Agronômica,TRUE
57,156,Água Azul Do Norte,Água Azul Do Norte,Água Azul Do Norte,TRUE
58,2163,Água Boa,Água Boa,Água Boa,TRUE
59,666,Água Branca,Água Branca,Água Branca,TRUE
60,4867,Água Clara,Água Clara,Água Clara,TRUE
61,2164,Água Comprida,Água Comprida,Água Comprida,TRUE
62,4141,Água Doce,Água Doce,Água Doce,TRUE
63,451,Água Doce Do Maranhão,Água Doce Do Maranhão,Água Doce Do Maranhão,TRUE
64,2994,Água Doce Do Norte,Água Doce Do Norte,Água Doce Do Norte,TRUE
65,1766,Água Fria,Água Fria,Água Fria,TRUE
66,5073,Água Fria De Goiás,Água Fria De Goiás,Água Fria De Goiás,TRUE
67,5074,Água Limpa,Água Limpa,Água Limpa,TRUE
68,1070,Água Nova,Água Nova,Água Nova,TRUE
69,1438,Água Preta,Água Preta,Água Preta,TRUE
70,4398,Água Santa,Água Santa,Água Santa,TRUE
71,3156,Aguaí,Aguaí,Aguaí,TRUE
72,2165,Aguanil,Aguanil,Aguanil,TRUE
73,1439,Águas Belas,Águas Belas,Águas Belas,TRUE
74,3157,Águas Da Prata,Águas Da Prata,Águas Da Prata,TRUE
75,4142,Águas De Chapecó,Águas De Chapecó,Águas De Chapecó,TRUE
76,3158,Águas De Lindóia,Águas De Lindóia,Águas De Lindóia,TRUE
77,3159,Águas De Santa Bárbara,Águas De Santa Bárbara,Águas De Santa Bárbara,TRUE
78,3160,Águas De São Pedro,Águas De São Pedro,Águas De São Pedro,TRUE
79,2166,Águas Formosas,Águas Formosas,Águas Formosas,TRUE
80,4143,Águas Frias,Águas Frias,Águas Frias,TRUE
81,5075,Águas Lindas De Goiás,Águas Lindas De Goiás,Águas Lindas De Goiás,TRUE
82,4144,Águas Mornas,Águas Mornas,Águas Mornas,TRUE
83,2167,Águas Vermelhas,Águas Vermelhas,Águas Vermelhas,TRUE
84,4399,Agudo,Agudo,Agudo,TRUE
85,3161,Agudos,Agudos,Agudos,TRUE
86,3776,Agudos Do Sul,Agudos Do Sul,Agudos Do Sul,TRUE
87,2995,Águia Branca,Águia Branca,Águia Branca,TRUE
88,1230,Aguiar,Aguiar,Aguiar,TRUE
89,313,Aguiarnópolis,Aguiarnópolis,Aguiarnópolis,TRUE
90,2168,Aimorés,Aimorés,Aimorés,TRUE
91,1767,Aiquara,Aiquara,Aiquara,TRUE
92,891,Aiuaba,Aiuaba,Aiuaba,TRUE
93,2169,Aiuruoca,Aiuruoca,Aiuruoca,TRUE
94,4400,Ajuricaba,Ajuricaba,Ajuricaba,TRUE
95,2170,Alagoa,Alagoa,Alagoa,TRUE
96,1231,Alagoa Grande,Alagoa Grande,Alagoa Grande,TRUE
97,1232,Alagoa Nova,Alagoa Nova,Alagoa Nova,TRUE
98,1233,Alagoinha,Alagoinha,Alagoinha,TRUE
99,667,Alagoinha Do Piauí,Alagoinha Do Piauí,Alagoinha Do Piauí,TRUE
100,1768,Alagoinhas,Alagoinhas,Alagoinhas,TRUE
101,3162,Alambari,Alambari,Alambari,TRUE
102,2171,Albertina,Albertina,Albertina,TRUE
103,452,Alcântara,Alcântara,Alcântara,TRUE
104,892,Alcântaras,Alcântaras,Alcântaras,TRUE
105,1234,Alcantil,Alcantil,Alcantil,TRUE
106,4868,Alcinópolis,Alcinópolis,Alcinópolis,TRUE
107,1769,Alcobaça,Alcobaça,Alcobaça,TRUE
108,453,Aldeias Altas,Aldeias Altas,Aldeias Altas,TRUE
109,4401,Alecrim,Alecrim,Alecrim,TRUE
110,2996,Alegre,Alegre,Alegre,TRUE
111,4402,Alegrete,Alegrete,Alegrete,TRUE
112,668,Alegrete Do Piauí,Alegrete Do Piauí,Alegrete Do Piauí,TRUE
113,4403,Alegria,Alegria,Alegria,TRUE
114,2172,Além Paraíba,Além Paraíba,Além Paraíba,TRUE
115,157,Alenquer,Alenquer,Alenquer,TRUE
116,1071,Alexandria,Alexandria,Alexandria,TRUE
117,5076,Alexânia,Alexânia,Alexânia,TRUE
118,2173,Alfenas,Alfenas,Alfenas,TRUE
119,2997,Alfredo Chaves,Alfredo Chaves,Alfredo Chaves,TRUE
120,3163,Alfredo Marcondes,Alfredo Marcondes,Alfredo Marcondes,TRUE
121,2174,Alfredo Vasconcelos,Alfredo Vasconcelos,Alfredo Vasconcelos,TRUE
122,4145,Alfredo Wagner,Alfredo Wagner,Alfredo Wagner,TRUE
123,1235,Algodão De Jandaíra,Algodão De Jandaíra,Algodão De Jandaíra,TRUE
124,1236,Alhandra,Alhandra,Alhandra,TRUE
125,1440,Aliança,Aliança,Aliança,TRUE
126,314,Aliança Do Tocantins,Aliança Do Tocantins,Aliança Do Tocantins,TRUE
127,1770,Almadina,Almadina,Almadina,TRUE
128,315,Almas,Almas,Almas,TRUE
129,158,Almeirim,Almeirim,Almeirim,TRUE
130,2175,Almenara,Almenara,Almenara,TRUE
131,1072,Almino Afonso,Almino Afonso,Almino Afonso,TRUE
132,3777,Almirante Tamandaré,Almirante Tamandaré,Almirante Tamandaré,TRUE
133,4404,Almirante Tamandaré Do Sul,Almirante Tamandaré Do Sul,Almirante Tamandaré Do Sul,TRUE
134,5077,Aloândia,Aloândia,Aloândia,TRUE
135,2176,Alpercata,Alpercata,Alpercata,TRUE
136,4405,Alpestre,Alpestre,Alpestre,TRUE
137,2177,Alpinópolis,Alpinópolis,Alpinópolis,TRUE
138,4938,Alta Floresta,Alta Floresta,Alta Floresta,TRUE
140,3164,Altair,Altair,Altair,TRUE
141,159,Altamira,Altamira,Altamira,TRUE
142,454,Altamira Do Maranhão,Altamira Do Maranhão,Altamira Do Maranhão,TRUE
143,3778,Altamira Do Paraná,Altamira Do Paraná,Altamira Do Paraná,TRUE
144,893,Altaneira,Altaneira,Altaneira,TRUE
145,2178,Alterosa,Alterosa,Alterosa,TRUE
146,1441,Altinho,Altinho,Altinho,TRUE
147,3165,Altinópolis,Altinópolis,Altinópolis,TRUE
148,137,Alto Alegre,Alto Alegre,Alto Alegre,TRUE
149,455,Alto Alegre Do Maranhão,Alto Alegre Do Maranhão,Alto Alegre Do Maranhão,TRUE
150,456,Alto Alegre Do Pindaré,Alto Alegre Do Pindaré,Alto Alegre Do Pindaré,TRUE
151,2,Alto Alegre Dos Parecis,Alto Alegre Dos Parecis,Alto Alegre Dos Parecis,TRUE
152,4939,Alto Araguaia,Alto Araguaia,Alto Araguaia,TRUE
153,4146,Alto Bela Vista,Alto Bela Vista,Alto Bela Vista,TRUE
154,4940,Alto Boa Vista,Alto Boa Vista,Alto Boa Vista,TRUE
155,2179,Alto Caparaó,Alto Caparaó,Alto Caparaó,TRUE
156,1073,Alto Do Rodrigues,Alto Do Rodrigues,Alto Do Rodrigues,TRUE
157,4406,Alto Feliz,Alto Feliz,Alto Feliz,TRUE
158,4941,Alto Garças,Alto Garças,Alto Garças,TRUE
159,5078,Alto Horizonte,Alto Horizonte,Alto Horizonte,TRUE
160,2180,Alto Jequitibá,Alto Jequitibá,Alto Jequitibá,TRUE
161,669,Alto Longá,Alto Longá,Alto Longá,TRUE
162,4942,Alto Paraguai,Alto Paraguai,Alto Paraguai,TRUE
163,3,Alto Paraíso,Alto Paraíso,Alto Paraíso,TRUE
164,5079,Alto Paraíso De Goiás,Alto Paraíso De Goiás,Alto Paraíso De Goiás,TRUE
165,3779,Alto Paraná,Alto Paraná,Alto Paraná,TRUE
166,457,Alto Parnaíba,Alto Parnaíba,Alto Parnaíba,TRUE
167,3780,Alto Piquiri,Alto Piquiri,Alto Piquiri,TRUE
168,2181,Alto Rio Doce,Alto Rio Doce,Alto Rio Doce,TRUE
169,2998,Alto Rio Novo,Alto Rio Novo,Alto Rio Novo,TRUE
170,894,Alto Santo,Alto Santo,Alto Santo,TRUE
171,4943,Alto Taquari,Alto Taquari,Alto Taquari,TRUE
172,3781,Altônia,Altônia,Altônia,TRUE
173,670,Altos,Altos,Altos,TRUE
174,3166,Alumínio,Alumínio,Alumínio,TRUE
175,75,Alvarães,Alvarães,Alvarães,TRUE
176,2182,Alvarenga,Alvarenga,Alvarenga,TRUE
177,3167,Álvares Florence,Álvares Florence,Álvares Florence,TRUE
178,3168,Álvares Machado,Álvares Machado,Álvares Machado,TRUE
179,3169,Álvaro De Carvalho,Álvaro De Carvalho,Álvaro De Carvalho,TRUE
180,3170,Alvinlândia,Alvinlândia,Alvinlândia,TRUE
181,2183,Alvinópolis,Alvinópolis,Alvinópolis,TRUE
182,316,Alvorada,Alvorada,Alvorada,TRUE
184,2184,Alvorada De Minas,Alvorada De Minas,Alvorada De Minas,TRUE
185,671,Alvorada Do Gurguéia,Alvorada Do Gurguéia,Alvorada Do Gurguéia,TRUE
186,5080,Alvorada Do Norte,Alvorada Do Norte,Alvorada Do Norte,TRUE
187,3782,Alvorada Do Sul,Alvorada Do Sul,Alvorada Do Sul,TRUE
188,138,Amajari,Amajari,Amajari,TRUE
189,4869,Amambai,Amambai,Amambai,TRUE
190,296,Amapá,Amapá,Amapá,TRUE
191,458,Amapá Do Maranhão,Amapá Do Maranhão,Amapá Do Maranhão,TRUE
192,3783,Amaporã,Amaporã,Amaporã,TRUE
193,1442,Amaraji,Amaraji,Amaraji,TRUE
194,4407,Amaral Ferrador,Amaral Ferrador,Amaral Ferrador,TRUE
195,5081,Amaralina,Amaralina,Amaralina,TRUE
196,672,Amarante,Amarante,Amarante,TRUE
197,459,Amarante Do Maranhão,Amarante Do Maranhão,Amarante Do Maranhão,TRUE
198,1771,Amargosa,Amargosa,Amargosa,TRUE
199,76,Amaturá,Amaturá,Amaturá,TRUE
200,1772,Amélia Rodrigues,Amélia Rodrigues,Amélia Rodrigues,TRUE
201,1773,América Dourada,América Dourada,América Dourada,TRUE
202,3171,Americana,Americana,Americana,TRUE
203,5082,Americano Do Brasil,Americano Do Brasil,Americano Do Brasil,TRUE
204,3172,Américo Brasiliense,Américo Brasiliense,Américo Brasiliense,TRUE
205,3173,Américo De Campos,Américo De Campos,Américo De Campos,TRUE
206,4408,Ametista Do Sul,Ametista Do Sul,Ametista Do Sul,TRUE
207,895,Amontada,Amontada,Amontada,TRUE
208,5083,Amorinópolis,Amorinópolis,Amorinópolis,TRUE
209,1237,Amparo,Amparo,Amparo,TRUE
210,2185,Amparo Do Serra,Amparo Do Serra,Amparo Do Serra,TRUE
211,3784,Ampére,Ampére,Ampére,TRUE
212,1602,Anadia,Anadia,Anadia,TRUE
213,1774,Anagé,Anagé,Anagé,TRUE
214,3785,Anahy,Anahy,Anahy,TRUE
215,160,Anajás,Anajás,Anajás,TRUE
216,460,Anajatuba,Anajatuba,Anajatuba,TRUE
217,3174,Analândia,Analândia,Analândia,TRUE
218,77,Anamã,Anamã,Anamã,TRUE
219,317,Ananás,Ananás,Ananás,TRUE
220,161,Ananindeua,Ananindeua,Ananindeua,TRUE
221,5084,Anápolis,Anápolis,Anápolis,TRUE
222,162,Anapu,Anapu,Anapu,TRUE
223,461,Anapurus,Anapurus,Anapurus,TRUE
224,4870,Anastácio,Anastácio,Anastácio,TRUE
225,4871,Anaurilândia,Anaurilândia,Anaurilândia,TRUE
226,2999,Anchieta,Anchieta,Anchieta,TRUE
227,1775,Andaraí,Andaraí,Andaraí,TRUE
228,3786,Andirá,Andirá,Andirá,TRUE
229,1776,Andorinha,Andorinha,Andorinha,TRUE
230,2186,Andradas,Andradas,Andradas,TRUE
231,3175,Andradina,Andradina,Andradina,TRUE
232,4409,André Da Rocha,André Da Rocha,André Da Rocha,TRUE
233,2187,Andrelândia,Andrelândia,Andrelândia,TRUE
234,3176,Angatuba,Angatuba,Angatuba,TRUE
235,2188,Angelândia,Angelândia,Angelândia,TRUE
236,4872,Angélica,Angélica,Angélica,TRUE
237,1443,Angelim,Angelim,Angelim,TRUE
238,4147,Angelina,Angelina,Angelina,TRUE
239,1777,Angical,Angical,Angical,TRUE
240,673,Angical Do Piauí,Angical Do Piauí,Angical Do Piauí,TRUE
241,318,Angico,Angico,Angico,TRUE
242,1074,Angicos,Angicos,Angicos,TRUE
243,3068,Angra Dos Reis,Angra Dos Reis,Angra Dos Reis,TRUE
244,1778,Anguera,Anguera,Anguera,TRUE
245,3787,Ângulo,Ângulo,Ângulo,TRUE
246,5085,Anhanguera,Anhanguera,Anhanguera,TRUE
247,3177,Anhembi,Anhembi,Anhembi,TRUE
248,3178,Anhumas,Anhumas,Anhumas,TRUE
249,5086,Anicuns,Anicuns,Anicuns,TRUE
250,674,Anísio De Abreu,Anísio De Abreu,Anísio De Abreu,TRUE
251,4148,Anita Garibaldi,Anita Garibaldi,Anita Garibaldi,TRUE
252,4149,Anitápolis,Anitápolis,Anitápolis,TRUE
253,78,Anori,Anori,Anori,TRUE
254,4410,Anta Gorda,Anta Gorda,Anta Gorda,TRUE
255,1779,Antas,Antas,Antas,TRUE
256,3788,Antonina,Antonina,Antonina,TRUE
257,896,Antonina Do Norte,Antonina Do Norte,Antonina Do Norte,TRUE
258,675,Antônio Almeida,Antônio Almeida,Antônio Almeida,TRUE
259,1780,Antônio Cardoso,Antônio Cardoso,Antônio Cardoso,TRUE
260,2189,Antônio Carlos,Antônio Carlos,Antônio Carlos,TRUE
261,2190,Antônio Dias,Antônio Dias,Antônio Dias,TRUE
262,1781,Antônio Gonçalves,Antônio Gonçalves,Antônio Gonçalves,TRUE
263,4873,Antônio João,Antônio João,Antônio João,TRUE
264,1075,Antônio Martins,Antônio Martins,Antônio Martins,TRUE
265,3789,Antônio Olinto,Antônio Olinto,Antônio Olinto,TRUE
266,4411,Antônio Prado,Antônio Prado,Antônio Prado,TRUE
267,2191,Antônio Prado De Minas,Antônio Prado De Minas,Antônio Prado De Minas,TRUE
268,1238,Aparecida,Aparecida,Aparecida,TRUE
270,5087,Aparecida De Goiânia,Aparecida De Goiânia,Aparecida De Goiânia,TRUE
271,5088,Aparecida Do Rio Doce,Aparecida Do Rio Doce,Aparecida Do Rio Doce,TRUE
272,319,Aparecida Do Rio Negro,Aparecida Do Rio Negro,Aparecida Do Rio Negro,TRUE
273,4874,Aparecida Do Taboado,Aparecida Do Taboado,Aparecida Do Taboado,TRUE
274,3069,Aperibé,Aperibé,Aperibé,TRUE
275,3000,Apiacá,Apiacá,Apiacá,TRUE
276,4944,Apiacás,Apiacás,Apiacás,TRUE
277,3180,Apiaí,Apiaí,Apiaí,TRUE
278,462,Apicum-Açu,Apicum-Açu,Apicum-Açu,TRUE
279,4150,Apiúna,Apiúna,Apiúna,TRUE
280,1076,Apodi,Apodi,Apodi,TRUE
281,1782,Aporá,Aporá,Aporá,TRUE
282,5089,Aporé,Aporé,Aporé,TRUE
283,1783,Apuarema,Apuarema,Apuarema,TRUE
284,3790,Apucarana,Apucarana,Apucarana,TRUE
285,79,Apuí,Apuí,Apuí,TRUE
286,897,Apuiarés,Apuiarés,Apuiarés,TRUE
287,1696,Aquidabã,Aquidabã,Aquidabã,TRUE
288,4875,Aquidauana,Aquidauana,Aquidauana,TRUE
289,898,Aquiraz,Aquiraz,Aquiraz,TRUE
290,4151,Arabutã,Arabutã,Arabutã,TRUE
291,1239,Araçagi,Araçagi,Araçagi,TRUE
292,2192,Araçaí,Araçaí,Araçaí,TRUE
293,1697,Aracaju,Aracaju,Aracaju,TRUE
294,3181,Araçariguama,Araçariguama,Araçariguama,TRUE
295,1784,Araçás,Araçás,Araçás,TRUE
296,899,Aracati,Aracati,Aracati,TRUE
297,1785,Aracatu,Aracatu,Aracatu,TRUE
298,3182,Araçatuba,Araçatuba,Araçatuba,TRUE
299,1786,Araci,Araci,Araci,TRUE
300,2193,Aracitaba,Aracitaba,Aracitaba,TRUE
301,900,Aracoiaba,Aracoiaba,Aracoiaba,TRUE
302,1444,Araçoiaba,Araçoiaba,Araçoiaba,TRUE
303,3183,Araçoiaba Da Serra,Araçoiaba Da Serra,Araçoiaba Da Serra,TRUE
304,3001,Aracruz,Aracruz,Aracruz,TRUE
305,5090,Araçu,Araçu,Araçu,TRUE
306,2194,Araçuaí,Araçuaí,Araçuaí,TRUE
307,5091,Aragarças,Aragarças,Aragarças,TRUE
308,5092,Aragoiânia,Aragoiânia,Aragoiânia,TRUE
309,320,Aragominas,Aragominas,Aragominas,TRUE
310,321,Araguacema,Araguacema,Araguacema,TRUE
311,322,Araguaçu,Araguaçu,Araguaçu,TRUE
312,4945,Araguaiana,Araguaiana,Araguaiana,TRUE
313,323,Araguaína,Araguaína,Araguaína,TRUE
314,4946,Araguainha,Araguainha,Araguainha,TRUE
315,324,Araguanã,Araguanã,Araguanã,TRUE
316,5093,Araguapaz,Araguapaz,Araguapaz,TRUE
317,2195,Araguari,Araguari,Araguari,TRUE
318,325,Araguatins,Araguatins,Araguatins,TRUE
319,463,Araioses,Araioses,Araioses,TRUE
320,4876,Aral Moreira,Aral Moreira,Aral Moreira,TRUE
321,1787,Aramari,Aramari,Aramari,TRUE
322,4412,Arambaré,Arambaré,Arambaré,TRUE
323,464,Arame,Arame,Arame,TRUE
324,3184,Aramina,Aramina,Aramina,TRUE
325,3185,Arandu,Arandu,Arandu,TRUE
326,2196,Arantina,Arantina,Arantina,TRUE
327,3186,Arapeí,Arapeí,Arapeí,TRUE
328,1603,Arapiraca,Arapiraca,Arapiraca,TRUE
329,326,Arapoema,Arapoema,Arapoema,TRUE
330,2197,Araponga,Araponga,Araponga,TRUE
331,3791,Arapongas,Arapongas,Arapongas,TRUE
332,2198,Araporã,Araporã,Araporã,TRUE
333,3792,Arapoti,Arapoti,Arapoti,TRUE
334,2199,Arapuá,Arapuá,Arapuá,TRUE
335,3793,Arapuã,Arapuã,Arapuã,TRUE
336,4947,Araputanga,Araputanga,Araputanga,TRUE
337,4152,Araquari,Araquari,Araquari,TRUE
338,1240,Arara,Arara,Arara,TRUE
339,4153,Araranguá,Araranguá,Araranguá,TRUE
340,3187,Araraquara,Araraquara,Araraquara,TRUE
341,3188,Araras,Araras,Araras,TRUE
342,901,Ararendá,Ararendá,Ararendá,TRUE
343,465,Arari,Arari,Arari,TRUE
344,4413,Araricá,Araricá,Araricá,TRUE
345,902,Araripe,Araripe,Araripe,TRUE
346,1445,Araripina,Araripina,Araripina,TRUE
347,3070,Araruama,Araruama,Araruama,TRUE
348,1241,Araruna,Araruna,Araruna,TRUE
349,1788,Arataca,Arataca,Arataca,TRUE
350,4414,Aratiba,Aratiba,Aratiba,TRUE
351,903,Aratuba,Aratuba,Aratuba,TRUE
352,1789,Aratuípe,Aratuípe,Aratuípe,TRUE
353,1698,Arauá,Arauá,Arauá,TRUE
354,3794,Araucária,Araucária,Araucária,TRUE
355,2200,Araújos,Araújos,Araújos,TRUE
356,2201,Araxá,Araxá,Araxá,TRUE
357,2202,Arceburgo,Arceburgo,Arceburgo,TRUE
358,3189,Arco-Íris,Arco-Íris,Arco-Íris,TRUE
359,2203,Arcos,Arcos,Arcos,TRUE
360,1446,Arcoverde,Arcoverde,Arcoverde,TRUE
361,2204,Areado,Areado,Areado,TRUE
362,3071,Areal,Areal,Areal,TRUE
363,3190,Arealva,Arealva,Arealva,TRUE
364,1242,Areia,Areia,Areia,TRUE
365,1077,Areia Branca,Areia Branca,Areia Branca,TRUE
366,1243,Areia De Baraúnas,Areia De Baraúnas,Areia De Baraúnas,TRUE
367,1244,Areial,Areial,Areial,TRUE
368,3191,Areias,Areias,Areias,TRUE
369,3192,Areiópolis,Areiópolis,Areiópolis,TRUE
370,4948,Arenápolis,Arenápolis,Arenápolis,TRUE
371,5094,Arenópolis,Arenópolis,Arenópolis,TRUE
372,1078,Arês,Arês,Arês,TRUE
373,2205,Argirita,Argirita,Argirita,TRUE
374,2206,Aricanduva,Aricanduva,Aricanduva,TRUE
375,2207,Arinos,Arinos,Arinos,TRUE
376,4949,Aripuanã,Aripuanã,Aripuanã,TRUE
377,5,Ariquemes,Ariquemes,Ariquemes,TRUE
378,3193,Ariranha,Ariranha,Ariranha,TRUE
379,3795,Ariranha Do Ivaí,Ariranha Do Ivaí,Ariranha Do Ivaí,TRUE
